,SoC,Dwell,Music,Viz,Squeeze,Dwell and Music,Dwell and Viz,Dwell and Squeeze,Music and Viz,Music and Squeeze,Viz and Squeeze
SoC,1,0,0,0,0,0,0,0,0,0,0
Dwell,1,1,0,0,0,0,0,0,0,0,0
Music,1,0,1,0,0,0,0,0,0,0,0
Viz,1,0,0,1,0,0,0,0,0,0,0
Squeeze,1,0,0,0,1,0,0,0,0,0,0
Dwell and Music,1,1,1,0,0,1,0,0,0,0,0
Dwell and Viz,1,1,0,1,0,0,1,0,0,0,0
Dwell and Squeeze,1,1,0,0,1,0,0,1,0,0,0
Music and Viz,1,0,1,1,0,0,0,0,1,0,0
Music and Squeeze,1,0,1,0,1,0,0,0,0,1,0
Viz and Squeeze,1,0,0,1,1,0,0,0,0,0,1